assemblage_id,group_label,method,analysis_tier,scenario,scenario_family,baseline_scenario,unit_type,gamma_change_pct_median,gamma_change_pct_p10,gamma_change_pct_p90,mean_q0_change_pct_median,mean_q0_change_pct_p10,mean_q0_change_pct_p90,mean_q1_change_pct_median,mean_q1_change_pct_p10,mean_q1_change_pct_p90,mean_q2_change_pct_median,mean_q2_change_pct_p10,mean_q2_change_pct_p90,abundance_stability_median,abundance_stability_p10,abundance_stability_p90,q0_stability_median,q0_stability_p10,q0_stability_p90,q1_stability_median,q1_stability_p10,q1_stability_p90,q2_stability_median,q2_stability_p10,q2_stability_p90,bray_stability_median,bray_stability_p10,bray_stability_p90,sorensen_stability_median,sorensen_stability_p10,sorensen_stability_p90,ordination_procrustes_r2_median,ordination_procrustes_r2_p10,ordination_procrustes_r2_p90,bray_mean_change_pct_median,bray_mean_change_pct_p10,bray_mean_change_pct_p90,sorensen_mean_change_pct_median,sorensen_mean_change_pct_p10,sorensen_mean_change_pct_p90,gdm_bray_delta_explained_median,gdm_bray_delta_explained_p10,gdm_bray_delta_explained_p90,gdm_bray_predicted_stability_median,gdm_bray_predicted_stability_p10,gdm_bray_predicted_stability_p90,gdm_bray_term_rank_stability_median,gdm_bray_term_rank_stability_p10,gdm_bray_term_rank_stability_p90,gdm_sorensen_delta_explained_median,gdm_sorensen_delta_explained_p10,gdm_sorensen_delta_explained_p90,gdm_sorensen_predicted_stability_median,gdm_sorensen_predicted_stability_p10,gdm_sorensen_predicted_stability_p90,gdm_sorensen_term_rank_stability_median,gdm_sorensen_term_rank_stability_p10,gdm_sorensen_term_rank_stability_p90,jaccard_stability_median,jaccard_stability_p10,jaccard_stability_p90,jaccard_mean_change_pct_median,jaccard_mean_change_pct_p10,jaccard_mean_change_pct_p90,n_iter
araneae_pitfall,Araneae,pitfall-trap,main,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,-13.011152416356875,-13.011152416356875,-13.011152416356875,-17.99645390070922,-17.99645390070922,-17.99645390070922,-15.806943187268118,-15.806943187268118,-15.806943187268118,-13.425189717590635,-13.425189717590635,-13.425189717590635,0.9952096814095698,0.9952096814095698,0.9952096814095698,0.9709518869229686,0.9709518869229686,0.9709518869229686,0.9460031129025819,0.9460031129025819,0.9460031129025819,0.9559803649586555,0.9559803649586555,0.9559803649586555,0.8554505080684345,0.8554505080684345,0.8554505080684345,0.9043614999540927,0.9043614999540927,0.9043614999540927,0.986270715163472,0.986270715163472,0.986270715163472,1.552029102103858,1.552029102103858,1.552029102103858,4.258616150726113,4.258616150726113,4.258616150726113,0.8159639405680768,0.8159639405680768,0.8159639405680768,0.9814053171453457,0.9814053171453457,0.9814053171453457,1,1,1,0.4446502577197684,0.4446502577197684,0.4446502577197684,0.9866207568394014,0.9866207568394014,0.9866207568394014,-0.2,-0.2,-0.2,0.9043614999540927,0.9043614999540927,0.9043614999540927,2.199860556541222,2.199860556541222,2.199860556541222,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,-89.96282527881041,-89.96282527881041,-89.96282527881041,-65.95744680851064,-65.95744680851064,-65.95744680851064,-64.3666390816958,-64.3666390816958,-64.3666390816958,-59.36174599552289,-59.36174599552289,-59.36174599552289,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.5857375536122253,0.5857375536122253,0.5857375536122253,0.7105727883501256,0.7105727883501256,0.7105727883501256,0.696681566168156,0.696681566168156,0.696681566168156,0.6063153171869604,0.6063153171869604,0.6063153171869604,0.4913106438133236,0.4913106438133236,0.4913106438133236,0.4135700822715773,0.4135700822715773,0.4135700822715773,-24.662419749780295,-24.662419749780295,-24.662419749780295,-44.52876515516915,-44.52876515516915,-44.52876515516915,-6.97415606753643,-6.97415606753643,-6.97415606753643,0.8575660750696789,0.8575660750696789,0.8575660750696789,0.6000000000000001,0.6000000000000001,0.6000000000000001,-12.270646700811707,-12.270646700811707,-12.270646700811707,0.9708560554187654,0.9708560554187654,0.9708560554187654,0.8,0.8,0.8,0.4913106438133236,0.4913106438133236,0.4913106438133236,-32.27376493910289,-32.27376493910289,-32.27376493910289,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,-54.6875,-54.6875,-54.6875,-27.913809990205685,-27.913809990205685,-27.913809990205685,-31.555695643694705,-31.555695643694705,-31.555695643694705,-29.08437790661138,-29.08437790661138,-29.08437790661138,1,1,1,0.9065346152661045,0.9065346152661045,0.9065346152661045,0.8222452807598674,0.8222452807598674,0.8222452807598674,0.8210914895739799,0.8210914895739799,0.8210914895739799,0.7163416474652357,0.7163416474652357,0.7163416474652357,0.8202218615548306,0.8202218615548306,0.8202218615548306,0.4349472922060619,0.4349472922060619,0.4349472922060619,-11.275041514662954,-11.275041514662954,-11.275041514662954,-12.849573074396936,-12.849573074396936,-12.849573074396936,-7.18735899108799,-7.18735899108799,-7.18735899108799,0.8921264183517905,0.8921264183517905,0.8921264183517905,0.4,0.4,0.4,-1.5421260613260976,-1.5421260613260976,-1.5421260613260976,0.9698153280325311,0.9698153280325311,0.9698153280325311,0.8,0.8,0.8,0.8202218615548306,0.8202218615548306,0.8202218615548306,-7.939954142660632,-7.939954142660632,-7.939954142660632,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999997,0.9999999999999997,0.9999999999999997,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1,1,1,0,0,0,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999997,0.9999999999999997,0.9999999999999997,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1,1,1,0,0,0,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9999999999999997,0.9999999999999997,0.9999999999999997,1,1,1,1,1,1,1,1,1,1.0000000000000009,1.0000000000000009,1.0000000000000009,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1,1,1,0,0,0,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,-21.561338289962826,-21.561338289962826,-21.561338289962826,-1.507092198581561,-1.507092198581561,-1.507092198581561,-1.0576291303257213,-1.0576291303257213,-1.0576291303257213,-0.8108416167905919,-0.8108416167905919,-0.8108416167905919,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9975368473643894,0.9975368473643894,0.9975368473643894,0.9989224567984992,0.9989224567984992,0.9989224567984992,0.9996408117654102,0.9996408117654102,0.9996408117654102,0.9932548334349932,0.9932548334349932,0.9932548334349932,0.9888912998574808,0.9888912998574808,0.9888912998574808,0.9995568724503132,0.9995568724503132,0.9995568724503132,-0.19075496848246498,-0.19075496848246498,-0.19075496848246498,-0.9033906669710601,-0.9033906669710601,-0.9033906669710601,-0.6080104029008933,-0.6080104029008933,-0.6080104029008933,0.9997582373843784,0.9997582373843784,0.9997582373843784,1,1,1,-0.7633158264610991,-0.7633158264610991,-0.7633158264610991,0.9991870508689343,0.9991870508689343,0.9991870508689343,1,1,1,0.9888912998574808,0.9888912998574808,0.9888912998574808,-0.5250562040159612,-0.5250562040159612,-0.5250562040159612,1
araneae_pitfall,Araneae,pitfall-trap,main,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,-17.472118959107807,-17.472118959107807,-17.472118959107807,-23.404255319148938,-23.404255319148938,-23.404255319148938,-22.40690219734348,-22.40690219734348,-22.40690219734348,-20.178577378037875,-20.178577378037875,-20.178577378037875,0.9888814588337996,0.9888814588337996,0.9888814588337996,0.9608872016190397,0.9608872016190397,0.9608872016190397,0.9477192002234902,0.9477192002234902,0.9477192002234902,0.9578760428135248,0.9578760428135248,0.9578760428135248,0.8335947658431706,0.8335947658431706,0.8335947658431706,0.9012117947032634,0.9012117947032634,0.9012117947032634,0.9779051789983231,0.9779051789983231,0.9779051789983231,1.6686861249068041,1.6686861249068041,1.6686861249068041,4.788736001425842,4.788736001425842,4.788736001425842,2.421170032653709,2.421170032653709,2.421170032653709,0.9505534363655458,0.9505534363655458,0.9505534363655458,-0.2,-0.2,-0.2,1.6424090353368115,1.6424090353368115,1.6424090353368115,0.9779562927328422,0.9779562927328422,0.9779562927328422,0,0,0,0.9012117947032634,0.9012117947032634,0.9012117947032634,2.520195318543572,2.520195318543572,2.520195318543572,1
araneae_pitfall,Araneae,pitfall-trap,main,species_baseline,species_error,species_baseline,species_units,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9999999999999997,0.9999999999999997,0.9999999999999997,1,1,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1.0000000000000004,1.0000000000000004,1.0000000000000004,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,0,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,1,1,1,1,0,0,0,1
araneae_pitfall,Araneae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,-1.3513513513513487,-1.84684684684685,-0.45045045045044585,18.344907407407398,17.118055555555554,20.497685185185187,18.966655375394346,17.40762815683751,20.51143310705099,14.944438207594967,13.695954779544312,16.377241240302414,1,1,1,0.9804310306027844,0.9749538609456682,0.9834776062049505,0.9737997366005504,0.9658338987109388,0.9796991026364119,0.9823255626831033,0.9769210815125211,0.9860081811832786,0.9442760204924061,0.9125882788134455,0.9544282723297958,0.9416548224764512,0.9249260041602263,0.9511742761187698,0.9873884430547321,0.9697662809177738,0.9936918373605914,-0.5623672286206582,-0.8839281405261756,-0.3901440891941854,-1.1122860271779056,-1.6814731896808854,-0.7266162695582253,-0.6773327495117183,-1.312288704128974,0.4626915346462022,0.9984690018988431,0.9963524387407134,0.9988477969785032,0.8,0.8,0.9800000000000001,-0.40305611737669444,-2.0159825879619735,1.157188198236042,0.997513058114932,0.9946581388604453,0.9985818907719435,0.8,0.22000000000000003,0.8,0.9416548224764512,0.9249260041602263,0.9511742761187698,-0.6298508001185144,-0.9534886709423329,-0.3610129646394987,30
