assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,distance,predictor,baseline_ispline_weight_median,scenario_ispline_weight_median,delta_ispline_weight_median,n_iter
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Bray-Curtis,Geographic,1.5476956324200108,1.4932167778340018,-0.054478854586009096,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Bray-Curtis,mos,1.6056078738075623,1.7188178308282187,0.1132099570206564,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Bray-Curtis,p_h,0.9471251759881505,1.4458477895878232,0.49872261359967274,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Bray-Curtis,t360_mean,0.49670357228242934,1.4076611384463031,0.9109575661638738,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Sørensen,Geographic,0.8026487253375735,1.1876914262436886,0.38504270090611514,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Sørensen,mos,1.0352595682326147,1.1448455020953354,0.10958593386272075,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Sørensen,p_h,0.643831447775649,1.1559706810043289,0.5121392332286798,1
araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,Sørensen,t360_mean,0.912989776532266,1.7442316788242667,0.8312419022920007,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Bray-Curtis,Geographic,1.5476956324200108,1.6878040491938782,0.14010841677386732,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Bray-Curtis,mos,1.6056078738075623,0.4537858817525725,-1.1518219920549897,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Bray-Curtis,p_h,0.9471251759881505,0.04325181920755182,-0.9038733567805987,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Bray-Curtis,t360_mean,0.49670357228242934,0.3270510392641415,-0.16965253301828787,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Sørensen,Geographic,0.8026487253375735,0.077695961356894,-0.7249527639806794,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Sørensen,mos,1.0352595682326147,0.2873522681211202,-0.7479073001114944,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Sørensen,p_h,0.643831447775649,0.09493368736576734,-0.5488977604098817,1
araneae_pitfall,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,Sørensen,t360_mean,0.912989776532266,0.10523440945529759,-0.8077553670769684,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Bray-Curtis,Geographic,1.739818864336478,2.2050568941938837,0.4652380298574057,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Bray-Curtis,mos,1.5986318364141427,0.40198301245524537,-1.1966488239588973,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Bray-Curtis,p_h,1.0856571421770316,0.22808277238792693,-0.8575743697891046,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Bray-Curtis,t360_mean,0.896604039312448,0.6413461451748761,-0.25525789413757194,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Sørensen,Geographic,1.205064902019431,0.537905354267519,-0.6671595477519121,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Sørensen,mos,0.9849081599695839,0.7875600173816948,-0.19734814258788913,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Sørensen,p_h,0.740605948361055,0.4095992354391103,-0.33100671292194467,1
araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,Sørensen,t360_mean,1.4253188506844856,0.7939976066243942,-0.6313212440600914,1
araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,Bray-Curtis,Geographic,1.5476956324200108,1.5476956324200108,0,1
araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,Bray-Curtis,mos,1.6056078738075623,1.6056078738075623,0,1
araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,Bray-Curtis,p_h,0.9471251759881505,0.9471251759881505,0,1
